id,title,new_add,소재지주소,지정일자,음식의유형,주된음식종류,call,img_url,Latitude,Longitude
90,큰집숯불갈비,"대전광역시 중구 계룡로881번길 9-7 (용두동,(1층))",대전광역시 중구 용두동 19-4 (1층) ,20070330,,돼지갈비,042 253 4848,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_49%2F1548945904745tR0Kc_JPEG%2Fdu8rBa9j5lPzTxn8X-QjaTIe.JPG.jpg,36.3236824,127.4123648
91,인정원,"대전광역시 중구 계룡로 755 (용두동,(3층))",대전광역시 중구 용두동 138-9 (3층) ,20110401,한식,한정식,042 254 4999,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190613_197%2F1560403857048nePAx_JPEG%2FRn_bnVzH3Gt36Oexle8XRrkA.jpg,36.3311811,127.4022594
92,맛소야,"대전광역시 중구 계백로1565번길 10 (유천동,,42(1.2층))","대전광역시 중구 유천동 308-37 ,42(1.2층) ",20080929,,"소고기구이,등심",042 524 9923,NULL,36.3181368,127.3942738
93,크래버대게나라대전점,"대전광역시 중구 계룡로 875 (용두동,1층)",대전광역시 중구 용두동 19-8 1층 ,20091001,,대게,042 253 5295,NULL,36.3236119,127.4119555
94,무지개한정식,"대전광역시 중구 보문로 264 (대흥동,지상2층)",대전광역시 중구 대흥동 498-2 지상2층 ,20091001,,한정식,042 256 8881,NULL,36.3262214,127.4222071
95,이삭,"대전광역시 중구 중앙로170번길 24 (은행동,,53-19,53-22(1층))","대전광역시 중구 은행동 53-1 ,53-19,53-22(1층) ",20090413,,생선초밥,042 253 1002,NULL,36.3285313,127.4289442
96,김판순김치찌개,"대전광역시 중구 안영로 45 (안영동,(지상1층))",대전광역시 중구 안영동 642-3 (지상1층) ,20110509,,"김치찌개, 삼겹살",042 586 5252,NULL,36.2931751,127.3804158
97,원조태평소국밥유천점,"대전광역시 중구 유천로 17-1 (유천동,(1층))",대전광역시 중구 유천동 268-15 (1층) ,20100330,,국밥,042 528 2222,NULL,36.3142907,127.3986422
98,괴산올갱이,대전광역시 중구 보문로 253-27 (대흥동),대전광역시 중구 대흥동 503-2 (지상2층) ,20140929,,올갱이해장국,042 253 3501,NULL,36.3246665,127.420842
99,박가부대찌개(은행점),"대전광역시 중구 중앙로164번길 22-9 (은행동,(1층))",대전광역시 중구 은행동 33-4 (1층) ,20111221,한식,부대찌개,042 221 8277,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220908_117%2F166261385819285QEG_JPEG%2F%25B9%25DA%25B0%25A1%25BA%25CE%25B4%25EB_%25BD%25C5%25B8%25DE%25B4%25BA_%25C4%25A1%25C1%25EE_%25B4%25DF%25B0%25A5%25BA%25F1_%25B6%25B1%25BA%25BA%25C0%25CC_%25B3%25D7%25C0%25CC%25B9%25F6_%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BD%25E6%25B3%25D7%25C0%25CF_%25281%2529.jpg,36.3280759,127.4277758
100,하나참치,"대전광역시 중구 계백로1685번길 18 (오류동,(1층))",대전광역시 중구 오류동 166-10 (1층) ,20161227,일식,참치회,042 521 0033,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180430_186%2F1525078601745wAIr2_JPEG%2FM2iQFYXxzh2N3UPHzkCW1eUr.JPG.jpg,36.3217249,127.4065269
101,남다른감자탕대전유천점,"대전광역시 중구 계백로 1601 (유천동,(1층))",대전광역시 중구 유천동 207-6 (1층) ,20160329,한식,"감자탕, 해장국",042 534 2110,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180725_80%2F1532494548185Ouwkz_JPEG%2FpSfaKh3WtaCBKwmhtkjkXOov.jpg,36.3188133,127.3979448
102,해뜨는집,"대전광역시 중구 대종로296번길 17 (문창동,(1층))",대전광역시 중구 문창동 373-3 (1층) ,20100930,,오리백숙,042 274 8720,NULL,36.3132684,127.4365055
103,대림한정식,"대전광역시 중구 대종로505번길 50, 2층 (선화동)","대전광역시 중구 선화동 229-6 ,229-1,229-7,229-8,230-2,230-6 대림관광호텔(2층) ",20151218,한식,한정식,042 221 6969,NULL,36.3285201,127.4223016
104,풍천민물장어,"대전광역시 중구 계백로 1601 (유천동,(2층))",대전광역시 중구 유천동 207-6 (2층) ,20150331,한식,장어구이,042 522 9252,NULL,36.3188133,127.3979448
105,문성회관,"대전광역시 중구 계백로1603번길 30 (유천동,(1층))",대전광역시 중구 유천동 204-9 (1층) ,20120328,한식,굴국밥,042 226 5292,NULL,36.319935,127.3978838
106,당디숯불갈비,"대전광역시 중구 대둔산로 460 (산성동,, 144-10 (1층))","대전광역시 중구 산성동 144-9 , 144-10 (1층) ",20130626,한식,소고기,042 587 6769,NULL,36.3101639,127.3885183
107,삼일소고기국밥,"대전광역시 중구 계룡로 806 (오류동,,187-9,187-24(1층))","대전광역시 중구 오류동 187-8 ,187-9,187-24(1층) ",20140710,한식,소고기국밥,042 533 3198,NULL,36.3273662,127.4057101
108,복코찜이,"대전광역시 중구 대둔산로 247, 1층 (안영동)",대전광역시 중구 안영동 644-4 1층 ,20140408,분식,코다리찜,070 74504000,NULL,36.2919645,127.3817769
109,대관령축산정육식당,"대전광역시 중구 서문로 128, B동 2층 (문화동)","대전광역시 중구 문화동 311-12 ,311-58 B동(2층) ",20130327,한식,쇠고기,042 582 9992,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220421_287%2F1650532569099c5v9B_JPEG%2F20220420_174455.jpg,36.3194883,127.4064036
110,대원칼국수,"대전광역시 중구 대종로 460, 1층 (대흥동)",대전광역시 중구 대흥동 158-2 (1층) ,20170405,분식,"칼국수, 수육",042  2220316,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170731_275%2F150145985288555pPt_JPEG%2F20170219_131924.jpg,36.3257161,127.4278878
111,샤브향목동점,대전광역시 중구 동서대로 1397 (목동),대전광역시 중구 목동 4-11 (2층) ,20140408,한식,샤브샤브,042 222 1900,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211202_281%2F16383715978968ucqi_JPEG%2F20211105_190343.jpg,36.333599,127.4118415
112,청와삼대,"대전광역시 중구 계룡로904번안길 6, 1층 (문화동)",대전광역시 중구 문화동 1-97 (1층) ,20170630,한식,"족발,보쌈",042 222 1440,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190301_107%2F1551433788737nal9a_JPEG%2FMQZg8ZE0rigJ4q33nrQkBdDV.jpeg.jpg,36.3208084,127.4129366
113,다교네쭈꾸미세상,"대전광역시 중구 대종로505번길 33, 1층 (선화동)","대전광역시 중구 선화동 47-1 ,48-1(1층) ",20150630,한식,쭈꾸미볶음,042 221 0276,NULL,36.3285327,127.4234175
114,계룡산가마솥콩두부,"대전광역시 중구 용두로 17-1, 1층 (용두동)",대전광역시 중구 용두동 31-14 1층 ,20170927,한식,청국장,042 538 3131,NULL,36.326003,127.4096075
115,쿠우쿠우대전점,"대전광역시 중구 중앙로156번길 16, 6층 (은행동, 앤비)",대전광역시 중구 은행동 143-1 앤비 ,20161227,일식,"초밥, 스시",042 253 5500,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220404_87%2F16490377429104JwX2_PNG%2F%25C0%25CC%25BF%25EB%25BF%25E4%25B1%25DD182324138.png,36.3282189,127.4271477
116,두꺼비만두전골칼국수,"대전광역시 중구 대흥로 139, 1층 (대흥동)",대전광역시 중구 대흥동 175 1층 ,20161006,분식,만두전골, 042 2852222,NULL,36.3242806,127.4275463
117,밀당가야밀면짬뽕,"대전광역시 중구 유천로 59-1, 1층 (유천동)",대전광역시 중구 유천동 210-10 1층 ,20171220,분식,"밀면,짬뽕", 042 5319279,NULL,36.3179003,127.3973939
118,24시생고기김치찌개전문점,"대전광역시 중구 태평로 80, 1층 (태평동)",대전광역시 중구 태평동 383-1 1층 ,20171220,한식,김치찌개, 042535 8882,NULL,36.3238357,127.3946841
119,오가네대구왕뽈떼기,"대전광역시 중구 유천로102번길 18, 2층 (유천동)",대전광역시 중구 유천동 200-12 2층 ,20171220,한식,"뽈떼기찜,탕",042 347 5959,NULL,36.3216506,127.3972737
120,충무할매낙지볶음,"대전광역시 서구 도산로 340, 1층 (용문동)",대전광역시 서구 용문동 277-4 1층 ,20121221,한식,낙지볶음, 042 5319348,NULL,36.3352939,127.3898491
121,정림가든,대전광역시 서구 혜천로 20 (정림동),대전광역시 서구 정림동 8-4 ,20130722,한식,"오리전골, 장어", 042 5838600,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170502_29%2F1493709469722GLnrn_JPEG%2F1.jpg,36.307464,127.3694672
122,대성콩국수,"대전광역시 서구 도산로 141, 1,2층 (도마동)",대전광역시 서구 도마동 67-36 ,20161014,한식,콩국수,042 533 4586,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170703_267%2F14990548725515Y2H4_JPEG%2F20170628_171622.jpg,36.3210511,127.3775335
123,돈수원갈비,대전광역시 서구 도산로 103 (도마동),대전광역시 서구 도마동 100-15 ,20051007,한식,돼지갈비,042 525 9209,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180608_295%2F1528438345093a79YC_JPEG%2FN69uL8cmjkSI4fZbgQ3fEfPZ.JPG.jpg,36.317533,127.377959
124,한마음면옥식당,대전광역시 서구 사마1길 22 (도마동),대전광역시 서구 도마동 101-6 ,20021004,분식,냉면, 042 5360408,NULL,36.3172649,127.3766626
125,이모네감자탕,대전광역시 서구 도솔로 135 (도마동),대전광역시 서구 도마동 34-44 ,20150327,한식,감자탕, 042 5229781,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190424_81%2F1556062853309N8EXL_JPEG%2FIcSOR3hp-bRreohGteHKl6-c.jpg,36.3226544,127.3735558
126,구봉농장식당,대전광역시 서구 계백로776번길 134 (관저동),대전광역시 서구 관저동 833 ,20070813,한식,멧돼지숯불구이, 042 5453000,NULL,36.2840326,127.3219061
127,그림같은집,대전광역시 서구 배재로91번길 51-2 (도마동),대전광역시 서구 도마동 328-20 ,20160711,한식,백반, 042 5348953,NULL,36.3173607,127.368305
128,도시애바다,대전광역시 서구 신갈마로 171 (갈마동),대전광역시 서구 갈마동 337-14 ,20081229,한식,옻닭, 042 5339189,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMjNfNDkg%2FMDAxNjY2NTIxMzQ3NjM4.bRP_yrxYyKBiNzPgCIVHm5t5hN5C-SGuxD3loUJvDDgg.P-LDNTStRJl3oIRJAB_5usnozjq8JH49R-6KVHt3vpAg.JPEG.won26270%2F20221022_205102.jpg,36.3489394,127.3679475
129,정림일식,"대전광역시 서구 정림로 78-14, 1층 (정림동)",대전광역시 서구 정림동 514 1층 ,20111114,일식,활어회, 042 5855335,NULL,36.3073293,127.3654697
130,새벽김밥,"대전광역시 서구 계백로 1166-18 (가수원동,1층)",대전광역시 서구 가수원동 767-2 1층 ,20070425,한식,김밥, 042 5419977,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA2MDhfMTcw%2FMDAxNTkxNjI2MDA1MTYx.1-RohHsCTrR0GlH5Og49hMzGK9K_p1X5ETJkyRyylfog.sKxzisHUrez2F82G4Dw56Gk57u27XIsM1poSjhEhoIog.JPEG.first_seogu%2F%25BB%25F5%25BA%25AE%25B1%25E8%25B9%25E413.jpg,36.3040978,127.3529405
131,객잔,"대전광역시 서구 복수동로51번길 58 (복수동,(1층))",대전광역시 서구 복수동 644 (1층) ,20081229,중식,홍합짬뽕,042 584 8700,NULL,36.299084,127.381871
132,흑산도회,대전광역시 서구 대덕대로335번길 23 (월평동),대전광역시 서구 월평동 227 ,20041001,일식,활어회, 042 4845587,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200213_214%2F1581575438510MwDGa_JPEG%2FQKJijMda6I8AwOBWijalBCJb.jpg,36.3627339,127.3781065
133,2002돼지마을식당,"대전광역시 서구 괴정로 181 (용문동,1층)",대전광역시 서구 용문동 280-79 1층 ,20070425,한식,삼겹살, 042 5223435,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA1MDJfNTAg%2FMDAxNjUxNDgzNjk3NTY3.cnnS8ciNafaAQuQjSHvjYT7l-9crbXuFE5nNoUiqH7sg.USMpJkBTs_MuxeCa7LUEaFfF5582X9CsEO4AhXnC7rUg.JPEG.palcorn7%2Fyo20220429_1947471.jpg,36.3332669,127.3908863
134,농도원생고기,대전광역시 서구 조달청길 55 (도마동),대전광역시 서구 도마동 63-26 ,19980608,한식,돼지생고기, 042 5225070,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA0MjhfMTE0%2FMDAxNDkzMzU2Nzg5MzA5.Ib6imCwORpsGb1zIMJXOVJr0kPanApXJLiJplw_HwTEg.58yjG0PGFwTcJbYiIotV9z-Km1rUxYNILb40Jp-7bA0g.JPEG.alsrnjs1222%2F20170414_211529_638.jpg,36.3193953,127.375072
135,바다회상(판옥선),"대전광역시 서구 청사로 220, 2층 (둔산동)",대전광역시 서구 둔산동 917 2층 ,20081229,일식,활어회, 042 4802697,NULL,36.3594722,127.3878453
136,둔산돌구이,"대전광역시 서구 둔산중로58번길 49 (둔산동,(2층))",대전광역시 서구 둔산동 1485 (2층) ,20091015,한식,삼겹살, 042 4851400,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_23%2F1440987266441Vsa8s_JPEG%2F11865759_0.jpg,36.3519336,127.3895009
137,동천홍식당,대전광역시 서구 청사로123번길 25 (월평동),대전광역시 서구 월평동 279 ,20061016,중식,"짬뽕, 탕수육", 042 4826267,NULL,36.3610065,127.3772912
138,해미락,대전광역시 서구 월평로 25 (월평동),대전광역시 서구 월평동 332 ,20061016,일식,모듬회, 042 4880033,NULL,36.3562099,127.3598554
139,원조풍원안창,대전광역시 서구 계룡로509번길 27 (탄방동),대전광역시 서구 탄방동 615 ,19980206,한식,안창구이, 042 4872552,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEwMjZfMzgg%2FMDAxNTcyMDU3OTAyMzE3.drGSJU6J6sB__9gWmB5xdrFlvp37QXpRomQda3peZdog.V5Kez5Nwzttpq1Ec3r1IcIMgxv6O6Ft_4Ke20Tnyjm0g.JPEG.noelkk%2F1572057901283.jpg,36.3451511,127.382014
140,태원,"대전광역시 서구 문정로 19 (둔산동,(1,2,3층))","대전광역시 서구 둔산동 1242 (1,2,3층) ",20030630,중식,"짜장면,탕수육", 042 4888836,NULL,36.3461535,127.3816953
141,황토방숯불갈비,"대전광역시 서구 괴정로 27, 1층 (갈마동)",대전광역시 서구 갈마동 1377 ,20061016,한식,삼겹살, 042 5239901,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200407_49%2F1586250188092TQNEJ_JPEG%2FR6RK5T7kIE_63jHVHuD9jg7r.jpeg.jpg,36.3408677,127.3771809
142,호두나무집식당,"대전광역시 서구 둔산중로64번길 32, 3층 (둔산동)",대전광역시 서구 둔산동 1468 ,20090729,한식,오리동충앞탕,,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220428_245%2F16511304970538vdd5_JPEG%2F1651130052108.jpg,36.3522402,127.3886596
143,귀빈돌솥밥식당,"대전광역시 서구 만년로68번길 21 (만년동,(1,2,3층))","대전광역시 서구 만년동 349 (1,2,3층) ",20030929,한식,돌솥밥, 042 4883340,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMjFfNzEg%2FMDAxNjY2MzYzMTQ5NDQz.6LaBJeamrQMrXOqyh9TeC2-zr23IVjE-A7ZUIHNL99Ig.JZILS2vc-BPf4FYQFySaq44IhM_vEX2CC2PeYlJWJc4g.PNG.spring-pack%2F%25B8%25B8%25B3%25E2%25B5%25BF_%25B5%25B9%25BC%25DC%25BA%25F1%25BA%25F6%25B9%25E4.png,36.3663379,127.3805171
144,신수원숯불갈비식당,대전광역시 서구 도산로 15 (도마동),대전광역시 서구 도마동 180-12 ,20160711,한식,돼지갈비, 042 5841807,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221027_124%2F1666823221371MKh5G_JPEG%2FScreenshot_20221027_072631_Samsung_Internet.jpg,36.3114447,127.3834471
145,자유대반점,"대전광역시 서구 둔산로137번길 28, 3층 (둔산동)",대전광역시 서구 둔산동 1481 ,20000705,중식,"짜장면, 짬뽕", 042 4722924,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200213_248%2F1581579668950yR6MO_JPEG%2Fy7iUkZkRzO9c1C2Ib3UHBv3C.jpg,36.352542,127.3895006
146,신촌설렁탕,대전광역시 서구 대덕대로 390 (만년동),대전광역시 서구 만년동 291 ,20001209,한식,설렁탕, 042 4892322,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA2MjRfMjY3%2FMDAxNDk4MjgyMzkxMzEw.4n_oTreSOdOXFJEeR3HMSpvs55_AJKceWthrkWn-f_og.P5_GC-Cmm-OGq1wu_tR-aNtC8Bnqti57osYaLYnvfE8g.JPEG.nari520%2FIMG_4018.jpg,36.3675457,127.3800161
147,정성생고깃간,대전광역시 서구 둔산중로32번길 25 (둔산동),대전광역시 서구 둔산동 1436 ,20091217,한식,쌉밥, 042 4772255,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191120_295%2F1574228209634K5Bfj_JPEG%2Fzlpbr425fd80llzKkMOZhKbt.jpg,36.3496613,127.3882074
148,만다린식당,"대전광역시 서구 둔산로31번길 32 (둔산동,2층)",대전광역시 서구 둔산동 1009 2층 ,20090522,중식,"짜장,짬뽕", 042 4892060,NULL,36.3530683,127.3778034
149,황태칼국수,"대전광역시 서구 정림로10번길 15-22 (정림동,1층)",대전광역시 서구 정림동 665 1층 ,20071123,분식,황태칼국수, 042 5812580,NULL,36.3024639,127.3670879
150,띠울참숯석갈비,대전광역시 서구 계백로 1353 (도마동),대전광역시 서구 도마동 312-198 ,20060331,한식,석갈비, 042 5278818,NULL,36.310682,127.3724913
151,홍능갈비찜,"대전광역시 서구 도산로 170, 1층 (변동)",대전광역시 서구 변동 62-2 1층 ,20140707,한식,갈비찜, 042 5339255,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210913_116%2F1631496776610r2jYY_PNG%2F%25C8%25AB%25B4%25C9.png,36.3233713,127.3786421
152,설악,"대전광역시 서구 둔산대로117번길 56, 2층 (만년동)",대전광역시 서구 만년동 385 ,20150703,한식,"칡냉면, 돼지갈비", 042 4895252,NULL,36.3674508,127.3825788
153,설천순대국밥,"대전광역시 서구 둔산로51번길 66, 1층 101호 (둔산동)",대전광역시 서구 둔산동 1353 1층 ,20161213,한식,순대국밥, 042 4824801,NULL,36.3541085,127.3805995
154,사리원면옥,"대전광역시 서구 둔산로31번길 77 (둔산동,(2층))",대전광역시 서구 둔산동 968 (2층) ,20070813,분식,"소불고기, 냉면", 042 4874209,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180119_209%2F1516338585208ARjq6_JPEG%2F8qClNj3B6GZQwQWKO9WB8iBa.jpg,36.355241,127.377238
