id,category,title,address,call,img_url,introducing
1,역사명소,계족산성,대전광역시 대덕구 장동 산85,042-623-9909,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAxMzBfNzkg%2FMDAxNjExOTk0MDc1NTAz.pzmleXVExT9Ul-e5lEc7TBpyu-Rgs8J39n6kfiesoTwg.ijxXFUjxlQA49_PJx49_1EQfda-dbeizvOJ7VtKowjQg.JPEG.countrydoll%2FIMG_0595.jpg&amp;type=a340,"삼국시대에 축성된 테뫼형 석축 산성.

높이 399m의 계족산 위에 있는 성으로 현존하는 성벽의 안쪽 높이는 3.4m, 외벽 높이는 7m, 상부 너비는 3.7m이며, 가장 잘 남아 있는 북쪽 성벽의 높이는 10.5m, 서쪽 성벽의 높이는 6.8m이다. 성벽은 대개 납작한 자연활석을 석재로 하여 축조하였으나, 동쪽 성벽 약 200m 정도는 안과 밖으로 석재를 쌓아올려 완성하였다. 성의 동·서·남쪽에 너비 4m의 문지가 있으며, 또 길이 110㎝, 너비 75㎝, 높이 63㎝의 장방형 우물터가 있는데, 그 아래로 약 1m의 수로가 있다. 상봉에 봉수지로 추정되는 곳이 있으며, 건물지와 주초석이 남아 있다.

금강 하류의 중요한 지점에 있고, 백제시대 토기조각이 많이 출토되고 있어 백제의 옹산성으로 비정되어왔다. 그러나 최근 성 안의 건물지와 저수지에 대한 발굴조사가 본격적으로 이루어지면서 6세기 중반 이후의 신라시대 유물만 출토될 뿐 백제 특유의 유물이 출토되지 않아 축성 주체 및 시기를 재검토해야 한다는 의견이 제기되고 있다. 이 성은 백제가 멸망한 뒤 백제부흥군이 이 산성을 근거로 한때 김유신(金庾信)과 품일(品日) 등이 지휘하는 신라군의 진로를 차단시키기도 하였고, 조선 말 동학농민군의 근거지가 되기도 하였다고 전한다. 현재 남문 터 밖에는 지름 12㎝, 깊이 12㎝의 구멍이 뚫린 문초석이 있으며, 성내에서 백제와 신라, 그리고 고려·조선시대의 토기와 자기조각이 출토되고 있어, 삼국시대부터 조선시대까지 계속 사용된 산성임을 증명해준다."
2,역사명소,미륵원,대전광역시 동구 마산동 135-2,042-251-4204,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAxMjdfMjAy%2FMDAxNTgwMDg1MTMwOTEy.13fiIIVaQeqOM4TQjg6GwKKx5zYpM9y2W_oJog0tLFMg.WUPpLwu3txI-4LM2acV1oPNi0CMm_gLzRyAoiQH1eXUg.JPEG.unhah%2FP1020814.JPG&amp;type=a340,"대한불교조계종 제18교구 본사인 백양사(白羊寺)의 말사이다. 통일신라시대에 원효(元曉)가 창건하였고, 1358년(공민왕 7)에 중수하였으며, 1789년(정조 13)에 몽수(夢守)가 중창하여 오늘에 이르고 있다. 옛 이름은 미륵원(彌勒院)이라 하였고, 그 뒤 신왕사(神王寺)로 바뀌었다가 심향사로 되었다.

현존하는 당우로는 미륵전(彌勒殿)과 대웅전(大雄殿)·요사채 등이 있다. 미륵전은 정면 3칸, 측면 2칸의 맞배지붕 건물로서 1976년 8월에 장마로 인해서 붕괴된 것을 1977년 10월에 재복원하였다. 내부에는 고려시대 작품으로 추정되는 석조미륵불좌상이 봉안되어 있고, 후불탱화와 1910년에 그린 지장탱화(地藏幀畵)가 있다.

대웅전은 정면 3칸, 측면 2칸의 맞배지붕 건물이며, 대웅전 안에 봉안된 불상은 베[布]에 칠을 한 건칠불(乾漆佛)로서 1982년 전라남도 유형문화재로 지정되었다.

이 불상은 조선시대 작품으로 알려져 있는데 매우 단아한 자세를 취하고 있다. 또 대웅전 안에는 후불탱화를 비롯하여, 1910년에 그린 독성탱화(獨聖幀畵), 조선 후기의 민화적 성격을 띤 산신탱화(山神幀畵) 등이 있다.

이 밖의 문화재로는 미륵전 앞에 있는 삼층석탑이 있고, 미륵전 앞에는 500년 전에 심었다는 팽나무와 모과나무 두 그루가 있다. 또, 1963년 보물로 지정된 나주북문외삼층석탑과 1963년 보물로 지정된 나주 서성문 안 석등도 원래는 이 절에 있었던 것으로 현재 국립중앙박물관에 다시 옮겨 보관하고 있다. 이 절 일원은 1984년 전라남도 문화재자료로 지정되었다."
3,역사명소,동춘당,대전광역시 대덕구 동춘당로 80 (송촌동),042-608-6572,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTExMDlfNiAg%2FMDAxNjM2NDIwMzk2Mjgy.4slgcGEV05hows50VhmX0IW7bDKazWX3m8PlSTyggkQg.JumrLIV6TgHRuvRyH6F_-vwfs0nopelkfbnDNGcGYR0g.JPEG.daedeokgu%2F7.jpg&amp;type=a340,"1963년 보물로 지정되었다. 이 건물은 효종 때 병조판서를 지낸 송준길(宋浚吉)이 자신의 호［同春堂］를 따서 건축한 별당이다. 이 별당의 서북측에는 송준길의 고택인 사랑채와 안채·사당 등이 독립된 건물로 건축되어 있다.

동춘당은 정면 3칸, 측면 2칸의 一자 모양의 평면으로 된 단층팔작지붕이며, 앞면을 널찍하게 다듬은 돌로 쌓은 단층기단 위에, 다듬은 돌 초석을 놓고, 방주(方柱)를 세워 주두 없이 직접 굴도리를 받친, 민도리집 양식이다.

가구는 오량으로 대들보를 앞뒤의 평주 위에 걸고 높이가 낮은 동자기둥을 세워 종보를 받치고 다시 그 위의 판대공에 소로만을 짜넣어 종도리 밑의 장여를 받치고 있다. 서쪽에는 정면 1칸, 측면 2칸의 큰 온돌방을 두고, 그 동쪽에는 정면 2칸, 측면 2칸의 대청을 두었다. 방의 전면과 대청의 전면·측면·뒷면에는 좁은 툇마루를 달았는데 난간은 없다.

대청의 전면 창호는 띠살로 된 들어열개인데, 그 중 하나에는 작은 들창을 달아 겨울철에는 들어열개 분합문을 닫고 지낼 수 있도록 하였다. 방의 창호는 띠살로 된 여닫이창이다. 처마는 홑처마이고 팔작지붕으로 막새기와는 사용하지 않고 있다. 이 건물은 조선 후기의 대표적인 별당건축물로 규모도 크지 않고 선비의 기질을 잘 나타낸 간소한 건물이다."
4,역사명소,남간정사,대전광역시 동구 충정로 53 (가양동),042-673-9286,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA4MjZfNzgg%2FMDAxNTk4Mzk4Mzc1MTM4.Vl79ErFi-CJ2J3Ea0jgH6rkSdIlgVmdefBVjCua2fCIg.VtwEbr29Vzwmdm9xvFkIJ4LnIKQXpFEjIQfaNw-FAcEg.JPEG.kjbpso%2F20200819_143208.jpg&amp;type=a340,"1989년 대전광역시 유형문화재로 지정되었다. 조선 숙종 때의 거유 송시열(宋時烈)이 강학하던 유서깊은 곳으로, 낮은 야산 기슭의 계곡을 배경으로 남향하여 건립되었다.

경내의 입구에는 정면 3칸, 측면 2칸에 홑처마 팔작지붕으로 된 기국정이 있고, 뒤편 높은 곳에는 정면 4칸, 측면 2칸에 홑처마 맞배지붕으로 된 남간정사가 있다. 남간정사는 정면 4칸 중 중앙 2칸 통칸에 우물마루의 넓은 대청을 드린 후 그 좌측편에는 전후 통칸의 온돌방을 드렸다.

그 우측편에는 뒤쪽 1칸을 온돌방으로 하고 앞쪽 1칸은 온돌아궁이의 함실(函室 : 방바닥 밑에 직접 불을 때게 만든 방)을 설치하기 위하여 대청마루면보다 조금 높여 누마루로 꾸몄다. 대청에는 4분합 띠살문을 달았고, 온돌방에는 쌍여닫이 띠살문을 달아 출입하도록 하였다.

계곡의 물이 흐르는 대청 밑에는 장초석을 놓고 원형기둥을 세웠으며, 또한 건물의 네귀에는 활주(活柱 : 추녀 뿌리를 받는 가는 기둥)를 세워 길게 뻗은 처마를 받쳐 주고 있다.

기둥 상부에 건물의 내외방향으로 꽂혀 있는 양봉(樑奉)의 끝을 익공뿌리처럼 깎아 마치 초익공(初翼工)처럼 보이며, 지붕틀은 5량가구로서 겹처마 팔작지붕을 이루고 있다.

뒤편 기슭에서 흐르는 계곡 물을 건물의 대청 밑을 통해, 앞에 마련된 넓은 연당(蓮塘)에 모이도록 하여 경내의 운치를 한층 더해주고 있다. 남간정사는 조선시대 별당건축의 양식적인 측면과 함께 조경에 있어서도 독특한 경지를 이룬 것으로 의의가 크다."
5,역사명소,단재 신채호 선생 생가터 ,대전광역시 중구 단재로229번길 47,042-606-6283,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20100125_161%2Fpsj0578_1264386134847iWqer_jpg%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_cimg2526_psj0578.jpg&amp;type=a340,"1991년 대전광역시 기념물로 지정되었다. 1992년 발굴조사와 고증을 거쳐 ㄱ자형의 안채와 헛간을 복원하고, 1996년에 생가지 앞에 동상을 건립하였다.

신채호는 8세에 아버지를 여의자 할아버지를 따라 충청북도 청원군 낭성면 귀래리 고두미 마을로 옮겨 할아버지가 차린 서당에서 한문을 공부하였다. 19세 때 성균관(成均館)에 입학하여 26세에 박사가 되었다.

황성신문(皇城新聞)과 대한매일신보(大韓每日申報)를 통해 민족의식의 앙양과 독립정신의 고취에 힘썼으며, 28세(1907)에는 신민회(新民會)에 참여하여 국채보상운동(國債報償運動)을 적극 지원하였다.

1910년 한일합방(韓日合邦)이 되자 블라디보스토크로 망명하여 독립운동을 전개하면서 해조신문·대동공보·권업신문 등의 발행을 주도하였다. 1919년 임시정부가 수립되자 의정원(議政院) 전원위원장(全院委員長)에 선임되었다가 1921년 임시정부의 분열상을 보고 사직하였다.

1920년 북경에서 박용만 등과 군사통일촉진회(軍事統一促進會)를 조직하여 임시정부의 존재를 부정하고 이승만을 성토하였다. 1923년 1월 상해에서 국민대표회의 창조파 맹장으로 활동하다 결렬되자 북경으로 돌아와 다물단을 조직·주도하였다.

이 무렵 역사연구야말로 정치운동, 무장운동 못지않은 독립운동임을 깨닫고 국사연구를 본격화하였다. 1924년부터 동아일보 등에 게재한 「평양패수고(平壤浿水考)」, 「전후삼한고(前後三韓考)」, 「조선역사상 일천연래 제일대사건(朝鮮歷史上一千年來第一大事件)」 등의 논문을 발표하였다.

1925년부터는 무정부주의적 성향을 보여 1927년에는 무정부주의 동방연맹(無政府主義 東方聯盟)에 가입하였다. 이듬해 4월에는 북경에서 열린 조선인 무정부주의자 회의를 주도하기도 하였다. 1927년 신간회 결성 시에는 발기인으로 참여하였다.

1928년 대만의 기륭항(基隆港)에 상륙하다 일본 경찰에 체포되어 대련(大連)으로 호송되어 1929년 5월 9일 10년형의 언도를 받고 중사상범으로 다루어져 여순 감옥의 독방에 수감되어 복역하다 1936년 향년 57세로 옥사하였다. 1962년 대한민국건국훈장 복장(複章)이 수여되었다."
6,역사명소,"옛 대전형무소 망루, 우물",대전광역시 중구 목중로 34(목동),042-606-6281,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20160901_34%2Fkoreana3886_1472714008754FLvsH_JPEG%2F%25B8%25C1%25B7%25E71.jpg&amp;type=a340,"2001년 6월 27일 대전광역시 문화재자료로 지정되었다. 이곳은 대전형무소가 있던 자리로, 독립투사들을 수감하기 위해 일본이 소규모로 설치하였던 옛 대전감옥을 3·1운동 이후 수감자가 늘어나게 되자 1939년 확장한 형무소이다. 한때는 안창호·여운형·박헌영 등 많은 독립투사들이 수감되었고, 6·25전쟁 때는 연합군에 쫓기던 북한군이 수천 명의 양민을 무참하게 학살한 곳이기도 하다.

준공 당시 망루는 동서남북에 각 하나씩 있었으나 도시개발계획에 따라 형무소가 이전하면서 형무소 자리는 아파트 단지로 바뀌고 현재 높이 7.85m의 철근콘크리트 건물인 망루 하나만 남아 있다.
"
7,역사명소,수운교의 성지 천단,대전광역시 유성구 자운로 245번길 80 (추목동),042-861-1771,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA4MTZfMjE4%2FMDAxNTk3NTc5NjA0NDEy.6qYZ2Egrcrx8hehB753d_20H72BJEk-qSd_0Oww7UMsg.bvwSk8sFwp0vxzNTLJR0wNbONOxWiz9bUVtzT9kLvZgg.JPEG.lsw24001%2FIMG_3710.JPG&amp;type=a340,"1989년 3월 18일 대전광역시 문화재자료로 지정되었다가, 1999년 5월 26일 대전광역시 유형문화재로 재지정되었다. 수운교천단은 1929년 4월 15일에 세워진 목조건물로서 수운교의 상징적인 건물이다. 수운교는 동학을 일으킨 수운(水雲) 최제우(崔濟愚)를 교조(敎祖)로 하여 하느님을 숭배하는 종교로서 한때 교세가 왕성하여 본부를 서울에 두었으나 교조 문제로 천도교(天道敎)와 의견 차이가 생겨 이곳에서 1923년에 창건하였다. 이 천단은 하느님을 숭배하는 곳으로 도솔천(逃率天) 현판을 걸었다. 앞면 3칸, 옆면 2칸의 팔작지붕 다포계집으로 건물의 설계는 교주 이상룡(李象龍)이 한 것이고, 건축은 경복궁을 지은 최원식(崔元植)이 지었다. 경내에는 정면에 있는 가장 큰 문인 광덕문(廣德門)과 종각 등이 있다.

천단의 건립에 동원된 건축술은 조선시대 건축술을 잘 보여주고 있다. 천단 건물(도솔천)과 광덕문(출입문), 육각으로 지은 종각 등 3동으로 되어 있다. 수운교의 상징적 존재인 천단은 단정하고 엄숙하게 꾸며진 정원 안의 높은 단 위에 위치해 있다. 정원 주변에는 야트막한 담이 둘러쳐져 있으며, 동서남북 사방으로 문이 나 있다.

57평 규모의 천단 건물에는 12마리의 큰 용과 44마리의 작은 용, 88개의 봉황상이 조각되어 있다. 건물 안에는 북벽에 일월성신 족각과 동쪽에는 금강탑, 서쪽에는 무량수탑이 각각 목조 6층으로 금박되어 있다. 또 4면에 불보살, 선관, 성군·사천왕 조각이 있으며 서벽에는 동진보살의 탱화를 배치 하여 종교적인 분위기를 풍기고 있다. 지붕에는 궁궐과 왕실 건축물 등에만 이용하던 12지신상을 배치하여 위엄을 강조하였다."
8,역사명소,이사동 민속마을,대전광역시 동구 이사동 산3,,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5451%2F2018%2F03%2F15%2F0000006945_001_20180315220853874.jpg&amp;type=a340,"이사동은 500여 년간 형성된 은진송씨 동족마을로, 수려한 자연경관을 배경으로 분묘 1,000여기, 재실 14개 전통건조물을 비롯한 문화유산이 집중 분포(기념물 3건, 문화재자료 2건)하고 있으며, 다른 전통민속마을에서 찾아보기 드문 마을 전승 상?장례, 제례 관련 무형유산까지도 간직하고 있는 유교전통마을이다."
9,역사명소,옛 충남도청과 근현대사전시관,대전광역시 중구 중앙로 101 (선화동),042-270-6303,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA3MTRfMTcy%2FMDAxNjU3NzYzNTc0Njk2.2aeRYseYm1FY0u0iWPGl6vMzogHFIsC1oLM3wZ7c_v0g.s95blV-lvaXzQDfZhK0s9aRDsEsgA1eLSOLa3BQgHjMg.JPEG.oipicle31%2F_MG_8479.JPG&amp;type=a340,"우리나라의 대표적인 근대문화유산인 옛 충남도청사 본관(등록문화재)에 “대전근현대사 전시관”(2013.10.1. 개관) 및 (구)충남도지사 집무실이 개방되어 있어 20세기 초부터 최근까지 약 100년 간의 대전의 역사와 발전상, 원도심의 다양한 모습들을 느껴볼수 있으며 도청사내에 대전시에서 운영하는 다양한 기획전시실이 있어 역사는 물론, 건축, 디자인, 민속 등 여러 분야의 특별전과 순회전을 하고 있다, 그 외 근대문화 유산인 옛 충남도청사 본관을 활용한 도청사 투어와 음악회 등 다양한 교육·문화 프로그램이 열리는 복합 문화공간이다."
10,문화명소,대전역과 추억의 가락국수,대전광역시 동구 중앙로 218 일원(정동),070-4681-2873,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTAzMTNfMTI1%2FMDAxNTUyNDY2NTU5NTMz.iCvfRCxLlwKj55rWR8seWKujpAcccDAyXiPLmi2FSlEg.eYxefA1TaozQ_Qf8VSDVSPtJCcQdsOt4LqQB0pfm4mwg.JPEG.chascraft%2F20190309_070348.jpg&amp;type=a340,"경부선과 호남선의 옛 분기 구조에서 기인하는데, 일제강점기에 조선총독부에서 호남지역 곡물을 부산으로 이동시켜 수탈해 가기 쉽게 하기 위하여 호남선의 선구가 경부선의 대전역에서 부산 방향을 향하도록 호남선을 부설하였다.

그러다 보니 서울에서 호남선을 이용하여 호남 지방으로 가려면 현재와는 달리 대전역까지 갔다가 대전역에서 기관차의 방향을 반대로 바꿔서 가는 것이 불가피하였고, 이 작업이 오랜 시간을 소요하기 때문에 그 시간을 노려서 대전역에서 잠시 내린 후 승강장의 식당으로 가서 가락국수를 시켜먹는 사람들이 많이 있었다.

이 때문에 대전역 가락국수는 자연히 대전역의 명물이 되었다. 그 후 호남선이 대전역을 경유하지 않고 대전조차장에서 서대전역으로 분기하는 구조로 바뀐 현재까지도, 승강장에서 도착 열차 대기 중 대전역 가락국수를 찾는 사람들이 있고, 환승열차 30분 대기 중에 가락국수를 찾는 고객들도 이를 많이 이용하고 있다.

가락국수는 대전역뿐만 아니라 경부선에서 장항선이 분기하는 천안역, 중앙선에서 태백선과 충북선이 분기하는 제천역, 경부선에서 대구선이 분기하는 대구역이나 동대구역 등에서도 팔았다."
